id,nome,logo,local,categoria,taxa,minimo
9d79c344-25d6-4b3f-b938-34ed50c43885,Marjô - Browneria,https://static-images.ifood.com.br/image/upload/t_thumbnail/logosgde/9d79c344-25d6-4b3f-b938-34ed50c43885/202106031630_1Xlz_i.jpg,natal-rn,Doces & Bolos,11.49,10.0
d713ed4c-55f5-4e84-a369-fd1b5793b945,Casa do Bolo Sabor e Qualidade,https://static-images.ifood.com.br/image/upload/t_thumbnail/logosgde/d713ed4c-55f5-4e84-a369-fd1b5793b945/202005041058_dO5k_i.jpg,natal-rn,Doces & Bolos,5.49,10.0
d9c742f3-6366-4f45-a9ef-b7a97e74b069,Tik's Açaí,https://static-images.ifood.com.br/image/upload/t_thumbnail/logosgde/d9c742f3-6366-4f45-a9ef-b7a97e74b069/202005081536_KyfJ_i.jpg,natal-rn,Açaí,5.49,10.0
2c6baaad-d1f5-41d7-ad5f-6a76323a68cd,Comida Cup,https://static-images.ifood.com.br/image/upload/t_thumbnail/logosgde/2c6baaad-d1f5-41d7-ad5f-6a76323a68cd/202005262136_A2pi_i.jpg,natal-rn,Brasileira,4.49,20.0
a2d038a8-491f-4d00-982c-d703b94ac80d,Pop's Lanches,https://static-images.ifood.com.br/image/upload/t_thumbnail/logosgde/a2d038a8-491f-4d00-982c-d703b94ac80d/202006111400_DU1e_i.jpg,parnamirim-rn,Lanches,11.49,20.0
a4a9546f-c9c9-458f-b48a-d171157462b3,Kopenhagen Natal Shopping,https://static-images.ifood.com.br/image/upload/t_thumbnail/logosgde/a4a9546f-c9c9-458f-b48a-d171157462b3/202104141633_GZHY_.jpeg,natal-rn,Doces & Bolos,12.0,20.0
65863112-2e9b-4607-b89d-b756007fb933,Le Paradis Du Café,https://static-images.ifood.com.br/image/upload/t_thumbnail/logosgde/65863112-2e9b-4607-b89d-b756007fb933/202103182008_7Tei_i.png,natal-rn,Cafeteria,12.0,10.0
c14779d0-ca11-4a4c-9b99-d438e2603631,Flora do Caju,https://static-images.ifood.com.br/image/upload/t_thumbnail/logosgde/c14779d0-ca11-4a4c-9b99-d438e2603631/202107261609_5VB5_.jpeg,natal-rn,Conveniência,7.0,45.0
4d78c4f1-43da-41a9-818b-91d9583149bd,Cacau Show Chocolates Cid. Verde,https://static-images.ifood.com.br/image/upload/t_thumbnail/logosgde/5ed371d6-29e6-4b55-8d3c-c54c53d426e3_CACAU_VERD11.png,parnamirim-rn,Doces & Bolos,17.0,20.0
85ab8930-00c2-4d02-adb5-bd39b6285a1e,Acai do Bom,https://static-images.ifood.com.br/image/upload/t_thumbnail/logosgde/85ab8930-00c2-4d02-adb5-bd39b6285a1e/202107201028_xhZ0_i.jpg,natal-rn,Açaí,7.49,10.0
